P187S6cM4_X	P187S6cM4_Y
0.509	0.029566
0.51	0.029573
0.511	0.029581
0.512	0.029587
0.513	0.029592999999999998
0.514	0.029602
0.515	0.029608
0.516	0.029613999999999998
0.517	0.029622
0.518	0.029627999999999998
0.519	0.029634999999999998
0.52	0.029643
0.521	0.02965
0.522	0.029657
0.523	0.029663
0.524	0.029668999999999997
0.525	0.029675999999999998
0.526	0.029684
0.527	0.029691
0.528	0.029696999999999998
0.529	0.029703
0.53	0.02971
0.531	0.029716
0.532	0.029723999999999997
0.533	0.02973
0.534	0.029737
0.535	0.029743
0.5359999999999999	0.029748999999999998
0.5369999999999999	0.029755999999999998
0.5379999999999999	0.029764
0.5389999999999999	0.029769
0.5399999999999999	0.029776999999999998
0.5409999999999999	0.029782
0.5419999999999999	0.029789
0.5429999999999999	0.029793999999999998
0.5439999999999999	0.029800999999999998
0.5449999999999999	0.029809
0.5459999999999999	0.029814
0.5469999999999999	0.029823
0.5479999999999999	0.029827
0.5489999999999999	0.029834
0.5499999999999999	0.02984
0.5509999999999999	0.029847
0.5519999999999999	0.029852
0.5529999999999999	0.029859
0.5539999999999999	0.029865
0.5549999999999999	0.029869999999999997
0.5559999999999999	0.029876
0.5569999999999999	0.029880999999999998
0.5579999999999999	0.029889
0.5589999999999999	0.029893
0.5599999999999999	0.0299
0.5609999999999999	0.029906
0.5619999999999999	0.029913
0.563	0.029918
0.564	0.029925
0.565	0.029931
0.566	0.029938
0.567	0.029942999999999997
0.568	0.029949999999999997
0.569	0.029953999999999998
0.57	0.029962
0.571	0.029966999999999997
0.572	0.029972
0.573	0.029977999999999998
0.574	0.029984
0.575	0.02999
0.576	0.029997
0.577	0.030003
0.578	0.030008
0.579	0.030012999999999998
0.58	0.030018
0.581	0.030025999999999997
0.582	0.030031
0.583	0.030036999999999998
0.584	0.030043
0.585	0.030049
0.586	0.030053
0.587	0.030057999999999998
0.588	0.030064999999999998
0.589	0.03007
0.59	0.030077
0.591	0.030081999999999998
0.592	0.030088
0.593	0.030092999999999998
0.594	0.030098999999999997
0.595	0.030105
0.596	0.030111
0.597	0.030115
0.598	0.030121
0.599	0.030126
0.6	0.030130999999999998
0.601	0.030137999999999998
0.602	0.030140999999999998
0.603	0.030147999999999998
0.604	0.030151999999999998
0.605	0.030159
0.606	0.030161999999999998
0.607	0.03017
0.608	0.030174999999999997
0.609	0.030181
0.61	0.030184
0.611	0.030191
0.612	0.030195
0.613	0.030202
0.614	0.030206
0.615	0.030211
0.616	0.030216
0.617	0.030220999999999998
0.618	0.030226
0.619	0.030230999999999997
0.62	0.030237999999999998
0.621	0.030241999999999998
0.622	0.030247
0.623	0.030253
0.624	0.030257
0.625	0.030262999999999998
0.626	0.03027
0.627	0.030272999999999998
0.628	0.030279999999999998
0.629	0.030285
0.63	0.030289
0.631	0.030293999999999998
0.632	0.030299999999999997
0.633	0.030303999999999998
0.634	0.030307999999999998
0.635	0.030313999999999997
0.636	0.030319
0.637	0.030324999999999998
0.638	0.030327999999999997
0.639	0.030334
0.64	0.030338999999999998
0.641	0.030343
0.642	0.030348
0.643	0.030352999999999998
0.644	0.030357
0.645	0.030362999999999998
0.646	0.030366999999999998
0.647	0.030372
0.648	0.030378
0.649	0.030382
0.65	0.030386999999999997
0.651	0.030392
0.652	0.030396999999999997
0.653	0.030400999999999997
0.654	0.030406
0.6549999999999999	0.030410999999999997
0.6559999999999999	0.030416
0.6569999999999999	0.030421
0.6579999999999999	0.030424
0.6589999999999999	0.03043
0.6599999999999999	0.030435
0.6609999999999999	0.030438999999999997
0.6619999999999999	0.030442999999999998
0.6629999999999999	0.030448999999999997
0.6639999999999999	0.030452999999999997
0.6649999999999999	0.030456999999999998
0.6659999999999999	0.030461
0.6669999999999999	0.030466
0.6679999999999999	0.030472
0.6689999999999999	0.030476
0.6699999999999999	0.030480999999999998
0.6709999999999999	0.030484999999999998
0.6719999999999999	0.030489
0.6729999999999999	0.030493
0.6739999999999999	0.030499
0.6749999999999999	0.030501999999999998
0.6759999999999999	0.030507
0.6769999999999999	0.03051
0.6779999999999999	0.030517
0.6789999999999999	0.03052
0.6799999999999999	0.030525
0.6809999999999999	0.030528999999999997
0.6819999999999999	0.030534
0.6829999999999999	0.030539
0.6839999999999999	0.030543999999999998
0.6849999999999999	0.030548
0.6859999999999999	0.030552
0.6869999999999999	0.030556
0.688	0.030560999999999998
0.689	0.030566
0.69	0.03057
0.691	0.030573999999999997
0.692	0.030577999999999998
0.693	0.030583
0.694	0.030587
0.695	0.030591999999999998
0.696	0.030594999999999997
0.697	0.0306
0.698	0.030604
0.699	0.03061
0.7	0.030612999999999998
0.701	0.030618
0.702	0.030622
0.703	0.030625
0.704	0.030629999999999998
0.705	0.030632999999999997
0.706	0.030638
0.707	0.030643
0.708	0.030646999999999997
0.709	0.030650999999999998
0.71	0.030654999999999998
0.711	0.030659
0.712	0.030663
0.713	0.030666
0.714	0.030671
0.715	0.030674999999999997
0.716	0.030678999999999998
0.717	0.030684
0.718	0.030687
0.719	0.030691999999999997
0.72	0.030695
0.721	0.030699999999999998
0.722	0.030705
0.723	0.030709
0.724	0.030712
0.725	0.030716999999999998
0.726	0.030719999999999997
0.727	0.030725
0.728	0.030728
0.729	0.030730999999999998
0.73	0.030736
0.731	0.03074
0.732	0.030743999999999997
0.733	0.030747999999999998
0.734	0.030751999999999998
0.735	0.030754999999999998
0.736	0.03076
0.737	0.030763
0.738	0.030767
0.739	0.030771
0.74	0.030775
0.741	0.030778999999999997
0.742	0.030782999999999998
0.743	0.030787
0.744	0.030789999999999998
0.745	0.030794
0.746	0.030798
0.747	0.030802
0.748	0.030805
0.749	0.030809999999999997
0.75	0.030813
0.751	0.030816999999999997
0.752	0.030820999999999998
0.753	0.030826
0.754	0.030829
0.755	0.030834
0.756	0.030837
