Perfect_X	Perfect_Y	D62_X	D62_Y	D72_X	D72_Y	P187_X	P187_Y	P212_X	P212_Y	P387_X	P387_Y
		0.198	0.116405	0.198	0.135566	0.198	0.022694	0.198	0.024539	0.198	0.032536
		0.199	0.116774	0.199	0.136045	0.199	0.022717	0.199	0.024579	0.199	0.032584
		0.2	0.117147	0.2	0.136529	0.2	0.022741	0.2	0.024617	0.2	0.032633
		0.201	0.117512	0.201	0.137008	0.201	0.022764	0.201	0.024656	0.201	0.032683
		0.202	0.117882	0.202	0.137487	0.202	0.022784	0.202	0.024696	0.202	0.032733
		0.203	0.118244	0.203	0.137962	0.203	0.022807	0.203	0.024734	0.203	0.032781
		0.204	0.118606	0.204	0.138439	0.204	0.022831	0.204	0.02477	0.204	0.032829
		0.205	0.118969	0.205	0.138914	0.205	0.022855	0.205	0.024809	0.205	0.032878
		0.206	0.119335	0.206	0.139385	0.206	0.022875	0.206	0.024847	0.206	0.032924
		0.207	0.119692	0.207	0.139856	0.207	0.022896	0.207	0.024886	0.207	0.032972
		0.208	0.120054	0.208	0.140326	0.208	0.022921	0.208	0.024925	0.208	0.03302
		0.209	0.120413	0.209	0.140798	0.209	0.022941	0.209	0.024961	0.209	0.03307
		0.21	0.120769	0.21	0.141265	0.21	0.02296	0.21	0.024996	0.21	0.033115
		0.211	0.121121	0.211	0.14173	0.211	0.022985	0.211	0.025037	0.211	0.03316
		0.212	0.121481	0.212	0.142197	0.212	0.023007	0.212	0.025072	0.212	0.033206
		0.213	0.121829	0.213	0.14266	0.213	0.023028	0.213	0.02511	0.213	0.033254
		0.214	0.122181	0.214	0.143123	0.214	0.02305	0.214	0.025148	0.214	0.0333
		0.215	0.122534	0.215	0.143587	0.215	0.023067	0.215	0.025184	0.215	0.033345
		0.216	0.122883	0.216	0.144045	0.216	0.02309	0.216	0.025218	0.216	0.03339
		0.217	0.123231	0.217	0.144504	0.217	0.023111	0.217	0.025252	0.217	0.033434
		0.218	0.123578	0.218	0.144964	0.218	0.023131	0.218	0.02529	0.218	0.033478
		0.219	0.123923	0.219	0.145419	0.219	0.023151	0.219	0.025324	0.219	0.033524
		0.22	0.124272	0.22	0.145875	0.22	0.023171	0.22	0.025361	0.22	0.033567
		0.221	0.124618	0.221	0.146328	0.221	0.023191	0.221	0.025396	0.221	0.033611
		0.222	0.124961	0.222	0.14678	0.222	0.023212	0.222	0.02543	0.222	0.033654
		0.223	0.125305	0.223	0.147234	0.223	0.02323	0.223	0.025466	0.223	0.033699
		0.224	0.125644	0.224	0.147684	0.224	0.023252	0.224	0.025502	0.224	0.033739
		0.225	0.125983	0.225	0.148132	0.225	0.023272	0.225	0.025538	0.225	0.033784
		0.226	0.126323	0.226	0.148582	0.226	0.023291	0.226	0.025573	0.226	0.033826
		0.227	0.126662	0.227	0.149029	0.227	0.023311	0.227	0.025604	0.227	0.033872
		0.228	0.126996	0.228	0.149474	0.228	0.023331	0.228	0.025637	0.228	0.033913
		0.229	0.127334	0.229	0.149918	0.229	0.023348	0.229	0.025671	0.229	0.033955
		0.23	0.127664	0.23	0.15036	0.23	0.023366	0.23	0.025706	0.23	0.033996
		0.231	0.128001	0.231	0.150805	0.231	0.023386	0.231	0.025738	0.231	0.034038
		0.232	0.128335	0.232	0.151243	0.232	0.023404	0.232	0.025773	0.232	0.034079
		0.233	0.128666	0.233	0.151683	0.233	0.023424	0.233	0.025807	0.233	0.034121
		0.234	0.128996	0.234	0.152121	0.234	0.023442	0.234	0.025839	0.234	0.034161
		0.235	0.129325	0.235	0.15256	0.235	0.02346	0.235	0.025873	0.235	0.034203
		0.236	0.129651	0.236	0.152995	0.236	0.023477	0.236	0.025907	0.236	0.034243
		0.237	0.129979	0.237	0.153431	0.237	0.023495	0.237	0.025939	0.237	0.034284
		0.238	0.130304	0.238	0.153863	0.238	0.023515	0.238	0.02597	0.238	0.034322
		0.239	0.130635	0.239	0.154299	0.239	0.023533	0.239	0.026004	0.239	0.034362
